 Platform,ShopName,Reputation,CreateShopTime,Provinces,City,Zone,Brand,PropertiesOne,PropertiesTwo,PropertiesThree,PropertiesFour,PropertiesFive,Title,StoreActivity,Price,PromotionPrice,PenNuitPrice,GuestUintPrice,PeopleNumber,Sale,SalePrice,NumberOfComment,CollectNumber,BabyID,ShopID,UnderTime,BabyLink,Year,Month,UNIXTime,AttributeOne,AttributeTwo,Class,重量(g):,工艺:,形状:,系列:
天猫,巧罗旗舰店,天猫卖家,,上海,上海,上海,CHORO/巧罗,松露巧克力,160,手工,松露型,巧罗魔力速融巧克力160g,巧罗纯可可脂速融手工黑松露巧克力年货大礼包礼盒32颗进口料零食,满79元减10元,179,39.9,39.9,73.5,93603,172479,"6,881,912",97888,32940,42815655248,62070456,,点击查看,1900,,,品牌:?巧罗,生产许可证编号:311713010169==产品标准号:GB/T 19343==厂名:上海巧旗食品有限公司==厂址:上海市松江区洞泾镇洞业路999号1幢1-C三楼、四楼==厂家联系方式:021-57633998==配料表:可可浆、白砂糖、可可脂、无水奶油、可可粉==储藏方法:避免高温及阳光直射处，最佳贮存温度为10℃-22℃==保质期:360 天==食品添加剂:磷脂、香兰素==产品名称:巧罗 巧罗魔力速融巧克力1...==包装方式:包装==包装种类:盒装==品牌:巧罗==系列:巧罗魔力速融巧克力160g==重量(g):160==巧克力品类:松露巧克力==产地:中国大陆==省份:上海==是否含有代可可脂:否==巧克力制作工艺:手工==形状:松露型==,,,,,
天猫,淘豆食品专营店,天猫卖家,,江苏,苏州,江苏苏州,友臣,卖家未填,2100,卖家未填,卖家未填,友臣肉松饼2100g套装,正宗友臣肉松饼整箱2100g福建特产小吃糕点心年货休闲小吃零食品,"满68元,包邮",130,60,60,103.2,35265,60658,"3,639,480",242996,107384,38512372890,101497926,,点击查看,1900,,,品牌:?友臣,生产许可证编号:350524010687==产品标准号:GB/T20977==厂名:友臣(福建)食品有限公司==厂址:晋江市紫帽镇浯垵村==厂家联系方式:0512-66377777==配料表:小麦粉、肉松、绿豆、白糖、水、淀粉、植物油、盐==储藏方法:常温阴凉干燥处，避免阳光直射==保质期:180 天==食品添加剂:山梨糖醇液、脱氢乙酸钠、山梨酸钾、食用香精香料==包装方式:包装==品牌:友臣==系列:友臣肉松饼2100g套装==商品条形码:TM13060600219==糕点种类:肉松饼==重量(g):2100==口味:甜味==是否含糖:含糖==是否为有机食品:否==产地:中国大陆==省份:福建省==城市:泉州市==,,,,,
天猫,亨如食品专营店,天猫卖家,,上海,上海,上海,三惠,卖家未填,583,卖家未填,卖家未填,零食大礼包组合,年货情人节送男女生朋友超值35包休闲零食大礼包礼盒含进口零食品,"满68元,包邮,送3元店铺优惠券",59.9,52.8,52.8,70,36833,48855,"2,579,544",21398,11443,43092935226,105935904,,点击查看,1900,,,品牌:?三惠,生产许可证编号:350613010008==产品标准号:SB/T10402==厂名:龙海市庆丰食品有限公司==厂址:龙海市白水镇楼埭村==厂家联系方式:05966808899==配料表:见包装==储藏方法:常温存放于阴凉干燥处==保质期:365 天==食品添加剂:见包装==包装方式:包装==重量(g):583==糕点种类:其他/other==品牌:三惠==系列:零食大礼包组合==热销系列:组合系列==是否含糖:含糖==产地:中国大陆==省份:福建省==是否进口:国产==,,,,,
天猫,诺梵旗舰店,天猫卖家,,浙江,杭州,浙江杭州,NOVOR/诺梵,松露巧克力,405,手工,其他/other,405克八种口味组合,年货诺梵进口料8口味松露巧克力405克礼盒喜糖零食品（代可可脂）,,134.57,17.8,17.8,26.6,83077,124178,"2,210,368",207515,118031,20722896330,70938565,,点击查看,1900,,,品牌:?诺梵,生产许可证编号:330113010269==产品标准号:GB9678.2-2003==厂名:杭州顶莱食品有限公司==厂址:杭州市余杭区良渚街道运河村==厂家联系方式:0571-88761891==配料表:白砂糖、（部分氢化）植物油、可可粉、可可脂、可可液块、全脂奶粉、抹茶粉、椰蓉、面包碎、奥利奥碎。==储藏方法:低于25度通风处==保质期:180 天==食品添加剂:乳化剂（磷脂）、香兰素、食用香精==包装方式:包装==包装种类:礼盒装==品牌:诺梵==系列:405克八种口味组合==商品条形码:6923991031096==重量(g):405==巧克力品类:松露巧克力==巧克力价格:80-100元==是否含糖:含糖==产地:中国大陆==省份:浙江省==城市:杭州市==是否含有代可可脂:是==成分含量:31%(含)-60%(含)==巧克力制作工艺:手工==形状:其他/other==,,,,,
全球购,usabuy,全球购优选商家,2008/9/3,北京,北京,北京,FERRERO/费列罗,果仁巧克力,600,非手工,其他/other,费列罗T48,进口年货意大利费列罗巧克力礼盒T48粒情人节礼物零食品喜糖包邮,291.67元/500g,350,115,115,10466.8,196,17839,"2,051,485",3482,4540,17936963015,36302614,2015/1/21 20:02,点击查看,2008,,http://detailskip.taobao.com/json/show_buyer_list.htm?step=false&bid_page=1&page_size=15&item_type=b&ends=1421841741000&starts=1421236941000&item_id=17936963015&user_tag=504975376&old_quantity=50998&zhichong=true&sold_total_num=16&seller_num_id=110136848&dk=0&title=%BD%F8%BF%DA%C4%EA%BB%F5%D2%E2%B4%F3%C0%FB%B7%D1%C1%D0%C2%DE%C7%C9%BF%CB%C1%A6%C0%F1%BA%D0T48%C1%A3%C7%E9%C8%CB%BD%DA%C0%F1%CE%EF%C1%E3%CA%B3%C6%B7%CF%B2%CC%C7%B0%FC%D3%CA&sbn=1422b419d5fc90785c9a95f12ffbd734&isTKA=false&msc=2,品牌: FERRERO/费列罗,生产许可证编号:==产品标准号:==厂名:费列罗==厂址:意大利原产 加拿大分装==厂家联系方式:400-022-3276==配料表:牛奶巧克力30%（白砂糖，可可脂，可可酱，脱脂乳粉，无水奶油，磷脂，香兰素），榛子28.5%，白砂糖，植物油，小麦面粉，乳清粉，低脂可可粉，食用盐。==储藏方法:28度以下避光密封保存==保质期:240==食品添加剂:磷脂，香兰素==产品名称:FERRERO/费列罗 费列罗T4...==包装方式: 包装==包装种类: 礼盒装==品牌: FERRERO/费列罗==系列: 费列罗T48==商品条形码: 009800120499==重量(g): 600==巧克力品类: 果仁巧克力==巧克力价格: 100-200元==是否含糖: 含糖==产地: 意大利==是否含有代可可脂: 否==成分含量: 30%以下==巧克力制作工艺: 非手工==形状: 其他/other==,,,,,
天猫,润谷食品专营店,天猫卖家,,广东,深圳,广东深圳,DRINGO/大润谷,卖家未填,908,卖家未填,卖家未填,丹麦风味曲奇908g,【拍下减6元】大润谷908g蓝铁罐盒装丹麦风味曲奇饼干进口料年货,"满66元,包邮",96,54,54,426.3,4575,36116,"1,950,264",97968,88344,16906878088,68427490,,点击查看,1900,,,品牌:?DRINGO/大润谷,生产许可证编号:440308010596==产品标准号:SB/T20980==厂名:深圳市润谷食品有限公司==厂址:深圳市坪山新区坪山办事处江岭社区香江工业园A栋==厂家联系方式:0755-2380 6722==配料表:小麦粉、白砂糖、棕榈油、奶油（10%）、鸡蛋、全脂乳粉、==储藏方法:请存放于阴凉干燥处，避免高温及阳光直接照射。==保质期:365 天==食品添加剂:（碳酸氢钠、食用香料、食用盐）。==产品名称:DRINGO/大润谷 丹麦风味曲...==包装方式:包装==重量(g):908==糕点种类:曲奇饼干==品牌:DRINGO/大润谷==系列:丹麦风味曲奇908g==热销系列:其它==是否含糖:含糖==是否为有机食品:否==产地:中国大陆==省份:广东省==口味:牛油味==是否进口:国产==,,,,,
天猫,卜珂巧克力旗舰店,天猫卖家,,上海,上海,上海,卜珂,松露巧克力,408,手工,松露型,松露巧克力(代可可脂)408g,卜珂进口料8口味松露巧克力408克礼盒喜糖年货零食品（代可可脂）,"满79元减5元,包邮",79.8,19.96,19.96,44,40788,89898,"1,794,364",123558,63454,41658900441,57522937,,点击查看,1900,,,品牌:?卜珂,生产许可证编号:320513010265==厂名:太仓市妮可食品有限公司==厂址:江苏省苏州市太仓市人民北路、北京西路北郊工业园==厂家联系方式:0512-53562772==配料表:可可粉、可可脂、可可液块、糖==保质期:365 天==食品添加剂:香兰素、大豆卵磷脂==产品名称:卜珂 松露巧克力(代可可脂...==包装方式:包装==包装种类:礼盒装==品牌:卜珂==系列:松露巧克力(代可可脂)408g==重量(g):408==巧克力品类:松露巧克力==巧克力价格:50-80元==是否含糖:含糖==产地:中国大陆==省份:江苏省==城市:太仓市==是否含有代可可脂:是==成分含量:31%(含)-60%(含)==巧克力制作工艺:手工==形状:松露型==,,,,,
天猫,乐奈旗舰店,天猫卖家,,上海,上海,上海,乐奈,松露巧克力,408,手工,松露型,松露巧克力408克,乐奈 进口料8口味黑松露巧克力408g喜糖年货零食礼盒（代可可脂）,,97.79,17.8,17.8,39.7,44219,98596,"1,755,009",279183,125968,35249217041,68130401,,点击查看,1900,,,品牌:?乐奈,生产许可证编号:320513010265==产品标准号:GB/T19343==厂名:太仓市妮可食品有限公司==厂址:江苏省苏州市太仓市人民北路、北京西路北郊工业园==厂家联系方式:0512-53239722==配料表:可可液块、可可粉、奶粉==储藏方法:25度以下==保质期:365 天==产品名称:乐奈 松露巧克力408克==包装方式:包装==包装种类:礼盒装==品牌:乐奈==系列:松露巧克力408克==重量(g):408==巧克力品类:松露巧克力==巧克力价格:20-30元==产地:中国大陆==省份:上海==是否含有代可可脂:是==成分含量:31%(含)-60%(含)==巧克力制作工艺:手工==形状:松露型==,,,,,
天猫,大润谷食品旗舰店,天猫卖家,,广东,深圳,广东深圳,DRINGO/大润谷,卖家未填,1200,卖家未填,卖家未填,丹麦风味曲奇饼干600g*2套装,包邮大润谷两盒装年货礼盒蓝铁罐曲奇饼干休闲零食进口料600g*2,,184.5,64.9,64.9,1235,1238,23559,"1,528,979",7537,6512,40363377200,112220078,,点击查看,1900,,,品牌:?DRINGO/大润谷,生产许可证编号:440308010596==产品标准号:SB/T20980==厂名:深圳市润谷食品有限公司==厂址:深圳市坪山新区坪山办事处江岭社区香江工业园A栋==厂家联系方式:0755-2380 6722==配料表:小麦粉、白砂糖、棕榈油、奶油（10%）、人造奶油、鸡蛋、全脂乳粉、==储藏方法:请存放于阴凉干燥处，避免高温及阳光直接照射。==保质期:365 天==食品添加剂:（碳酸氢钠、食用香料、食用盐）。==包装方式:包装==商品条形码:6930548616767==重量(g):1200==糕点种类:曲奇饼干==品牌:DRINGO/大润谷==系列:丹麦风味曲奇饼干600g*2套装==热销系列:脆饼==是否含糖:含糖==是否为有机食品:否==产地:中国大陆==省份:广东省==口味:奶油味==,,,,,
全球购,usabuy,全球购优选商家,2008/9/3,北京,北京,北京,ROCA/乐家,卖家未填,822,卖家未填,卖家未填,杏仁糖,进口年货情人节好礼 美国进口Almond Roca乐家杏仁糖822g喜糖包邮,261.56元/500g,430,,430,27725.7,46,2966,"1,275,380",591,2005,9974622570,36302614,2015/1/23 15:01,点击查看,2008,,http://detailskip.taobao.com/json/show_buyer_list.htm?step=false&bid_page=1&page_size=15&item_type=b&ends=1421996495000&starts=1421391695000&item_id=9974622570&user_tag=504975376&old_quantity=10002&zhichong=true&sold_total_num=16&seller_num_id=110136848&dk=0&title=%BD%F8%BF%DA%C4%EA%BB%F5%C7%E9%C8%CB%BD%DA%BA%C3%C0%F1+%C3%C0%B9%FA%BD%F8%BF%DAAlmond+Roca%C0%D6%BC%D2%D0%D3%C8%CA%CC%C7822g%CF%B2%CC%C7%B0%FC%D3%CA&sbn=d2926fff3d81062d875314a824165462&isTKA=false&msc=2,品牌: ROCA/乐家,生产许可证编号:==产品标准号:==厂名:Brown & Haley==厂址:美国华盛顿州塔克马市==厂家联系方式:400-022-3276==配料表:白砂糖、杏仁、黄油、椰子油、经碱性处理的可可、脱脂奶粉、乳清、大豆卵脂、可可脂、可可酱、香草==储藏方法:密封避光常温，开袋后冷藏==保质期:540==食品添加剂:天然香料==产品: 杏仁糖==包装方式: 包装==包装种类: 桶装==商品条形码: 041770051809==重量(g): 822==品牌: ROCA/乐家==系列: 杏仁糖==是否含糖: 含糖==产地: 美国==是否为有机食品: 否==,,,,,
天猫,泰司食品专营店,天猫卖家,,上海,上海,上海,华宝,卖家未填,950,卖家未填,卖家未填,零食大礼包组合,零食大礼包36包一箱的 元旦女友送礼物 含进口食品组合年货礼盒,"满88元减2元,包邮；满118元减3元,包邮",69,49.8,49.8,57.6,21038,24343,"1,212,281",10986,6862,43153610992,106431395,,点击查看,1900,,,品牌:?华宝,厂名:上海华宝食品厂有限公司==厂址:上海市浦东新区建豪路99号==厂家联系方式:400-6749996==配料表:小熊饼干、烤馍片、咪咪、牛扎饼等等==储藏方法:阴凉干燥处 密封保存==保质期:365 天==食品添加剂:见包装==包装方式:包装==重量(g):950==品牌:华宝==系列:零食大礼包组合==产地:中国大陆==省份:上海==,,,,,
天猫,天成丰顺食品专营店,天猫卖家,,北京,北京,北京,麦德好,卖家未填,468,卖家未填,卖家未填,每时营养麦片巧克力散装500克,正宗麦德好燕麦巧克力500g低糖营养麦片巧克力特产喜糖零食品年货,,28.8,10.8,10.8,48.6,24689,111133,"1,200,236",207291,123789,21888160073,65141806,,点击查看,1900,,,品牌:?麦德好,生产许可证编号:350513010057==产品标准号:SB/T10402==厂名:福建省麦德好食品工业有限公司==厂址:晋江市罗山街道社店西南区147号==厂家联系方式:88546587==配料表:面粉 玉米淀粉 白砂糖 玉米粉 麦芽精==储藏方法:阴凉、干燥处保存==保质期:365 天==产品名称:麦德好 每时营养麦片巧克力...==产品:喜糖==包装方式:包装==包装种类:袋装==重量(g):468==品牌:麦德好==系列:每时营养麦片巧克力散装500克==产地:中国大陆==省份:福建省==城市:泉州市==口味:原味==,,,,,
天猫,旺通食品专营店,天猫卖家,,浙江,杭州,浙江杭州,GOLDEN CROWN/金冠,卖家未填,468,卖家未填,卖家未填,黑糖话梅糖,喜糖 金冠黑糖话梅零食糖果正宗金冠黑糖话梅糖年货零食毛重500g,"满20元,包邮",41,25.8,25.8,98.9,11985,45949,"1,185,484",94688,40030,14438036159,60072094,,点击查看,1900,,,品牌:?金冠,"生产许可证编号:350513010124==产品标准号:SB/T 10018==厂名:金冠（中国）食品有限公司==厂址:晋江市新塘街道湖格工业区==厂家联系方式:0595-88126666==配料表:白砂糖，赤砂糖，话梅肉==储藏方法:阴凉干燥处，避免阳光直射==保质期:365 天==食品添加剂:磷脂,蔗糖脂肪酸酯,焦糖色==产品名称:金冠 黑糖话梅糖 468克==产品:喜糖==包装方式:包装==包装种类:袋装==重量(g):468==品牌:金冠==系列:黑糖话梅糖==规格:468克==是否含糖:含糖==产地:中国大陆==省份:福建省==城市:泉州市==口味:黑糖话梅味==是否为有机食品:否==",,,,,
天猫,食尚物语食品专营店,天猫卖家,,河南,焦作,河南焦作,友臣,卖家未填,2100,卖家未填,卖家未填,肉松饼2100g,(买一送一拍套餐)正宗友臣肉松饼零食品整箱小吃美食糕点年货包邮,,130,60,60,102.7,9779,16737,"1,004,220",252630,97518,35895949684,106541934,,点击查看,1900,,,品牌:?友臣,生产许可证编号:350524010687==产品标准号:GB/T20977==厂名:友臣（福建）食品有限公司==厂址:晋江市紫帽镇浯垵村==厂家联系方式:0595-28795666==配料表:小麦粉、肉松、绿豆、白糖、水、淀粉、植物油、盐、==储藏方法:常温阴凉干燥处，避免阳光直射==保质期:180 天==食品添加剂:山梨糖醇液、脱氢乙酸钠、山梨酸钾、食用香精香料==产品名称:友臣 肉松饼2100g==包装方式:包装==品牌:友臣==系列:肉松饼2100g==糕点种类:肉松饼==重量(g):2100==是否含糖:含糖==是否为有机食品:否==产地:中国大陆==省份:福建省==城市:泉州市==,,,,,
天猫,天馋食品专营店,天猫卖家,,上海,上海,上海,功夫麦坊,卖家未填,860,卖家未填,卖家未填,零食大礼包,36包新年送女友礼物含进口零食大礼包一箱的组合饼干食品礼盒年货,"满68元,包邮",78,49.9,49.9,68.1,14741,20103,"1,003,140",8549,4563,43144712820,111682125,,点击查看,1900,,,品牌:?功夫麦坊,生产许可证编号:371622011411==厂名:博兴新旺食品有限公司==厂址:湖滨工业园(湖滨镇寨卞村)==厂家联系方式:05432537888==配料表:30包美味零食组合==储藏方法:阴凉干燥处==保质期:200 天==食品添加剂:见包装==包装方式:包装==重量(g):860==品牌:功夫麦坊==系列:零食大礼包==产地:中国大陆==省份:河南省==,,,,,
